ling_n_words,ling_speaking_rate,ling_filler_ratio,ling_ttr,ling_repeat_ratio,ling_mean_word_len,ling_n_pauses,ling_mean_pause,ling_pause_ratio,ling_articulation_rate,label,split,anon_id
47.0,1.175,0.0,0.8723404255319149,0.0,4.276595744680851,1.0,13.52,0.33799999999999997,3.1007751937984493,1,train,call_0181ce113ebe
15.0,0.375,0.0,0.7333333333333333,0.0,3.466666666666667,0.0,0.0,0.0,0.78781512605042,1,train,call_018c9d3823ac
58.0,1.45,0.017241379310344827,0.7931034482758621,0.0,4.051724137931035,1.0,13.659999999999997,0.3414999999999999,4.061624649859942,1,train,call_01bf49059daf
21.0,0.525,0.0,0.9047619047619048,0.0,4.619047619047619,1.0,5.240000000000001,0.13100000000000003,2.436194895591648,1,train,call_01c3806808d6
17.0,0.425,0.058823529411764705,0.9411764705882353,0.0,4.588235294117647,4.0,5.595000000000001,0.5595000000000001,2.025586353944563,1,val,call_0294f969f98b
35.0,0.875,0.02857142857142857,1.0,0.0,4.885714285714286,1.0,11.879999999999999,0.297,3.1474820143884874,1,train,call_02c249d2f89d
36.0,0.9,0.027777777777777776,0.9166666666666666,0.0,4.027777777777778,4.0,2.3099999999999996,0.23099999999999996,3.829787234042554,1,train,call_02d28871d7b3
55.0,1.375,0.0,0.8545454545454545,0.0,4.363636363636363,1.0,0.8399999999999999,0.020999999999999998,3.051643192488264,1,train,call_03680846967f
36.0,0.9,0.05555555555555555,0.8888888888888888,0.0,4.833333333333333,1.0,10.739999999999998,0.26849999999999996,3.2490974729241886,0,train,call_04d682ac0cef
49.0,1.225,0.0,0.7959183673469388,0.0,4.163265306122449,0.0,0.0,0.0,3.4979423868312747,1,train,call_05d6615469e1
17.0,0.425,0.0,0.9411764705882353,0.0,4.647058823529412,3.0,7.660000000000001,0.5745000000000001,2.079866888519135,0,train,call_0615c3630150
32.0,0.8,0.0,0.90625,0.0,4.25,1.0,11.139999999999999,0.27849999999999997,3.277153558052433,1,train,call_064d8dd77899
38.0,0.95,0.0,0.868421052631579,0.0,4.184210526315789,1.0,6.859999999999999,0.17149999999999999,2.7741083223249663,1,train,call_06b5a78ea12e
23.0,0.575,0.0,0.8260869565217391,0.0,3.9130434782608696,2.0,4.2,0.21000000000000002,2.31023102310231,1,val,call_0847d7417bb1
16.0,0.4,0.0,1.0,0.0,4.75,3.0,6.640000000000001,0.49800000000000005,1.672862453531599,0,train,call_092aef8d1243
37.0,0.925,0.02702702702702703,0.9459459459459459,0.0,3.945945945945946,1.0,11.52,0.288,3.090332805071315,1,train,call_098d8081babe
17.0,0.425,0.0,1.0,0.0,4.882352941176471,0.0,0.0,0.0,0.849731663685152,1,train,call_099dffdf8486
19.0,0.475,0.0,0.9473684210526315,0.0,4.473684210526316,2.0,5.990000000000002,0.2995000000000001,1.496674057649668,0,train,call_0a9c546208d1
26.0,0.65,0.0,0.9615384615384616,0.0,4.346153846153846,4.0,6.140000000000001,0.6140000000000001,2.6173285198555964,0,train,call_0ab7d2a0c0f5
49.0,1.225,0.02040816326530612,0.9183673469387755,0.0,4.408163265306122,3.0,4.0600000000000005,0.30450000000000005,3.2216494845360835,1,val,call_0cf2f4a71328
50.0,1.25,0.0,0.88,0.0,4.1,1.0,0.6400000000000006,0.016000000000000014,3.2051282051282057,1,train,call_0e101713ee94
27.0,0.675,0.0,0.9259259259259259,0.0,4.111111111111111,1.0,20.919999999999998,0.5229999999999999,3.10344827586207,0,val,call_0e1e2f29bfdc
18.0,0.45,0.0,0.8888888888888888,0.0,4.666666666666667,2.0,9.48,0.47400000000000003,2.1978021978021984,0,val,call_10aa0d1d33f0
37.0,0.925,0.10810810810810811,0.918918918918919,0.0,4.378378378378378,1.0,15.759999999999998,0.39399999999999996,3.155339805825242,1,train,call_10ceaf16fbbf
16.0,0.4,0.0,1.0,0.0,4.375,1.0,12.319999999999999,0.30799999999999994,1.9867549668874172,0,train,call_11d3230256a1
64.0,1.6,0.0625,0.84375,0.0,4.078125,3.0,0.566666666666667,0.042500000000000024,3.2945736434108532,1,val,call_120d6007bcc1
25.0,0.625,0.0,0.96,0.0,4.52,4.0,4.3125,0.43125,1.5540944411237299,0,train,call_1612f093f8b5
38.0,0.95,0.0,0.868421052631579,0.0,4.394736842105263,4.0,3.5549999999999993,0.3554999999999999,2.147577092511013,0,train,call_16581bcbc272
38.0,0.95,0.05263157894736842,0.8421052631578947,0.0,4.421052631578948,2.0,1.1799999999999997,0.05899999999999998,2.2471910112359548,0,train,call_1761edbd6952
9.0,0.225,0.0,1.0,0.0,4.111111111111111,1.0,30.599999999999998,0.7649999999999999,3.7815126050420127,1,val,call_181a5049ecae
28.0,0.7,0.03571428571428571,0.8928571428571429,0.0,3.892857142857143,4.0,6.244999999999999,0.6244999999999999,2.7607361963190185,0,val,call_185e958a253b
35.0,0.875,0.02857142857142857,0.9428571428571428,0.0,4.171428571428572,2.0,5.3,0.265,3.3213644524237,1,train,call_186e9d6ee732
44.0,1.1,0.06818181818181818,0.8863636363636364,0.0,4.295454545454546,2.0,5.240000000000002,0.2620000000000001,3.338278931750742,1,train,call_189410107163
28.0,0.7,0.0,0.9642857142857143,0.0,4.75,2.0,10.009999999999998,0.5005,3.211009174311923,1,train,call_18bd3c505fd5
17.0,0.425,0.058823529411764705,0.8235294117647058,0.0,5.470588235294118,2.0,5.19,0.2595,0.7906976744186046,0,val,call_198ef413fe4a
